Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB
"10092","","","None","www.perfectcomfort.us","tcp","21","FTP Server Detection","An FTP server is listening on a remote port.","It is possible to obtain the banner of the remote FTP server by
connecting to a remote port.","n/a","","
The remote FTP banner is :

220---------- Welcome to Pure-FTPd [privsep] [TLS] ----------
220-You are user number 2 of 150 allowed.
220-Local time is now 18:46. Server port: 21.
220-This is a private system - No anonymous login
220-IPv6 connections are also welcome on this server.
220 You will be disconnected after 30 minutes of inactivity.
","","","","","None","","",""
"10107","","","None","www.perfectcomfort.us","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache","","","","","None","","IAVT:0001-T-0931",""
"10107","","","None","www.perfectcomfort.us","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache","","","","","None","","IAVT:0001-T-0931",""
"10114","CVE-1999-0524","0.0","None","www.perfectcomfort.us","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The difference between the local and remote clocks is -3 seconds.
","","0.0","","","None","","CWE:200",""
"10185","","","None","www.perfectcomfort.us","tcp","110","POP Server Detection","A POP server is listening on the remote port.","The remote host is running a server that understands the Post Office
Protocol (POP), used by email clients to retrieve messages from a
server, possibly across a network link.","Disable this service if you do not use it.","https://en.wikipedia.org/wiki/Post_Office_Protocol","
Remote POP server banner :

+OK Dovecot ready.
","","","","","None","","",""
"10185","","","None","www.perfectcomfort.us","tcp","995","POP Server Detection","A POP server is listening on the remote port.","The remote host is running a server that understands the Post Office
Protocol (POP), used by email clients to retrieve messages from a
server, possibly across a network link.","Disable this service if you do not use it.","https://en.wikipedia.org/wiki/Post_Office_Protocol","
Remote POP server banner :

+OK Dovecot ready.
","","","","","None","","",""
"10263","","","None","www.perfectcomfort.us","tcp","25","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220-contractor-1.footbridgemobile.com ESMTP Exim 4.95 #2 Sat, 12 Nov 2022 17:44:57 -0800 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
","","","","","None","","IAVT:0001-T-0932",""
"10263","","","None","www.perfectcomfort.us","tcp","465","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220-contractor-1.footbridgemobile.com ESMTP Exim 4.95 #2 Sat, 12 Nov 2022 17:46:22 -0800 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
","","","","","None","","IAVT:0001-T-0932",""
"10263","","","None","www.perfectcomfort.us","tcp","587","SMTP Server Detection","An SMTP server is listening on the remote port.","The remote host is running a mail (SMTP) server on this port. 

Since SMTP servers are the targets of spammers, it is recommended you
disable it if you do not use it.","Disable this service if you do not use it, or filter incoming traffic
to this port.","","
Remote SMTP server banner :

220-contractor-1.footbridgemobile.com ESMTP Exim 4.95 #2 Sat, 12 Nov 2022 17:44:37 -0800 
220-We do not authorize the use of this system to transport unsolicited, 
220 and/or bulk e-mail.
","","","","","None","","IAVT:0001-T-0932",""
"10267","","","None","www.perfectcomfort.us","tcp","22","SSH Server Type and Version Information","An SSH server is listening on this port.","It is possible to obtain information about the remote SSH server by
sending an empty authentication request.","n/a","","
SSH version : SSH-2.0-OpenSSH_7.4
SSH supported authentication : publickey,gssapi-keyex,gssapi-with-mic,password
","","","","","None","","IAVT:0001-T-0933",""
